pid,code,code_count,code_score,duration,time_ratio,A/C,M/F,appearance,engagement_score,norm_engagement_score,engagement_level
290,"['Approach', 'None', 'Touch']",3,"[3, 4, 5]","[3920, 73200, 29920]","[0.03662182361733931, 0.6838565022421524, 0.2795216741405082]",Child,Female,"흰색 머리끈, 검정색 상의, 검정색 바지, 흰색 운동화",4.242899850523169,77.95263126767716,high
291,"['Approach', 'None']",2,"[3, 4]","[7280, 20080]","[0.26608187134502925, 0.7339181286549707]",Child,Female,"흰색 머리끈, 검정색 상의, 검정색 바지, 흰색 운동화",3.7339181286549707,62.64171872660705,low
292,"['Approach', 'Touch']",2,"[3, 5]","[4320, 32560]","[0.11713665943600868, 0.8828633405639913]",Child,Female,"흰색 머리끈, 검정색 상의, 검정색 바지, 흰색 운동화",4.765726681127982,93.68002487256595,high
293,"['Approach', 'Touch', 'Gesture', 'Touch']",4,"[3, 5, 5, 5]","[7120, 27680, 16000, 33840]","[0.08412098298676748, 0.3270321361058601, 0.1890359168241966, 0.3998109640831758]",Child,Male,"무릎까지 오는 긴 점퍼, 줄무늬 검정 트레이닝복",4.831758034026465,95.66634427414753,high
295,"['Approach', 'None']",2,"[3, 4]","[5200, 38880]","[0.11796733212341198, 0.8820326678765881]",Adult,Female,"갈색 코트, 검정색 바지, 흰색 운동화",3.8820326678765884,67.09722009070187,low
296,"['Approach', 'None']",2,"[3, 4]","[5280, 15840]","[0.25, 0.75]",Adult,Female,"크로스백, 분홍색 점퍼, 검은색 바지",3.75,63.125484871993784,low
297,"['Approach', 'Gesture']",2,"[3, 5]","[9600, 9920]","[0.4918032786885246, 0.5081967213114754]",Adult,Female,"검정색 상의, 청바지",4.016393442622951,71.13898815958488,high
302,"['Approach', 'Gesture', 'Touch']",3,"[3, 5, 5]","[5360, 18080, 4160]","[0.19420289855072465, 0.6550724637681159, 0.15072463768115943]",Child,Male,"검정색 후드, 차콜색 바지",4.611594202898551,89.04349512598239,high
303,"['Approach', 'Gesture']",2,"[3, 5]","[5200, 3200]","[0.6190476190476191, 0.38095238095238093]",Child,Male,"검정색 후드, 차콜색 바지",3.761904761904762,63.483597473124235,low
305,"['Approach', 'None']",2,"[3, 4]","[15520, 640]","[0.9603960396039604, 0.039603960396039604]",Child,Female,"분홍색 상의, 분홍색 치마",3.0396039603960396,41.755735891665196,low
